user_id,trip_id,waiting_time,date
1,57a9de67-3f61-487a-ac95-5535baee9468,434,2022-12-05
1,2ed5e70f-20c7-4b49-9f23-ac778754a5e9,900,2022-12-09
1,61521f36-8bc2-4ada-a0f7-9dbb50943975,473,2022-12-10
2,89a3b986-24c7-4556-9e35-4b8eda15e333,500,2022-12-07
2,edd8ec9e-dedb-42ea-9a11-e2cae30f45f1,879,2022-12-07
3,f89bfb76-148e-4132-8b1a-e374b9d04887,470,2022-12-08
3,5d7e78b8-0f73-443a-b99b-57def11b9fb5,554,2022-12-07
4,7b07bbaf-8293-40c0-9cbe-593302b17be8,87,2022-12-07
4,51d1cc58-f819-47ef-a9a0-6b972aedde6a,897,2022-12-08
4,666d0353-73eb-4a4e-9ddb-aaba57f967e4,207,2022-12-04
5,a2efd14c-31f8-4138-b353-a42c121e86ce,880,2022-12-10
5,37d385c4-107a-4cf3-bf14-577ee021beee,333,2022-12-06
6,4acf7ce2-8959-4a9e-a485-4c6535b6641e,285,2022-12-07
6,9d3cc6cc-9eed-4d79-8048-65c368c646b8,719,2022-12-06
6,8321ce7e-f3f7-4ed1-a67a-cb9f32701108,688,2022-12-05
7,cf5b4f9b-669b-4932-bb3a-617e6bd04c8b,120,2022-12-10
7,865cedf2-6e5f-4f8d-8d53-0e675dbcb175,95,2022-12-09
8,18c29b9f-a271-4eac-ac46-bf766c17ef75,466,2022-12-09
8,e949a5d4-91a6-44e5-bf6d-73d5c17efd81,131,2022-12-09
8,0eaaebd3-fafb-4d86-ba92-c863f5609290,438,2022-12-06
9,5830e70a-7ce4-44db-b95a-b30e2c98ec3a,628,2022-12-07
9,88b757b5-27ce-47eb-96f8-a608b0a61ddb,246,2022-12-06
9,2887a953-d3bd-496b-a4fc-14da446c3618,105,2022-12-08
9,85a737ff-933c-42b0-b44c-df454ea55cd4,361,2022-12-06
10,d1acb792-381d-4449-9212-c16092dd005c,842,2022-12-10
10,e320488e-8db0-47d1-99c0-dd39c159e8a5,623,2022-12-07
10,6c4ca8f6-0662-4abc-8ac5-756ce9c3b6a3,647,2022-12-06
11,ba19533d-e082-4339-8d13-64b211664c78,176,2022-12-10
11,e9765e11-652c-4520-92cc-4eeb9f43c032,298,2022-12-09
12,232c6275-9e5a-4a84-8c06-cf861d1f034a,542,2022-12-08
12,8d551407-00cf-4048-aa46-236e89ff2186,615,2022-12-06
12,5be25553-abea-4f41-97dd-eaee4281350c,143,2022-12-07
12,0414d945-a9f8-472b-ae8c-6c94b6e4ac30,468,2022-12-08
13,b8eb9aa0-dd8f-45b8-a9ed-873a51cb6a91,201,2022-12-09
13,0963bc33-78b0-430b-a657-744cc2bb6dcc,311,2022-12-10
14,89267e99-958b-4336-91be-039f202c74d2,500,2022-12-04
14,5bb3b594-8da5-4d1e-bd58-8a3968917b64,803,2022-12-05
15,106c8e93-3f8d-40de-a24c-5ede1c7ec6cb,224,2022-12-07
15,b132a5bf-87e7-47fe-84c7-e9b244368c79,214,2022-12-05
15,44824644-e7a4-4ef4-9c6d-5709544832df,359,2022-12-04
15,1702b450-40b7-44d8-aaaf-69479ff83cc2,235,2022-12-05
16,aafd60c9-2c4f-4dd3-94e4-583dec7c78b6,896,2022-12-09
16,31a63e57-9901-4d8b-94dc-8d56b0ec753f,353,2022-12-04
16,dfa2e82c-8211-4de6-b2fa-607fb3746318,454,2022-12-10
17,953ee993-e309-4555-9598-b118e35e3dfd,90,2022-12-04
17,7c813530-1bf7-4aa0-bb4e-80ea0ccb4480,767,2022-12-09
17,76044370-f31a-4889-93bf-b6fe47ac960e,236,2022-12-05
17,5560f75a-d777-46c1-9cc2-1adea7c66cb0,231,2022-12-06
18,567be3f5-74fe-448e-b47b-ac292bf907c3,366,2022-12-08
18,5e76ecad-7aae-425e-b1b8-6449f65092eb,324,2022-12-10
18,0cdfc73c-83ca-444a-bc68-0d7d5b1bf4cb,73,2022-12-06
19,98b86434-0fe1-456e-b235-d90868011669,111,2022-12-08
19,55dfcdaa-5cbc-4fec-bca0-d9535ca7e454,225,2022-12-06
20,d86834bb-15f9-443e-b18d-173d1dfd9f0a,515,2022-12-10
20,08b10a7d-8d57-42ba-8e2e-dadd0ef95a77,218,2022-12-07
20,fc9b633e-beeb-443d-98b5-db8e5476de4f,334,2022-12-08
21,0f39315d-8eec-410d-8bf3-ece3f27f4ec1,435,2022-12-05
21,4c641183-61e9-4c54-872e-6cb4b32cfafe,809,2022-12-10
21,9e9da5ac-c9ac-4d2a-8fee-6a5124c5752d,270,2022-12-10
22,501ca501-d07b-4827-b09b-ee9dac6857f3,774,2022-12-06
22,054eff78-8b28-433a-8cfb-f43d0ccde710,783,2022-12-10
23,7066de31-5456-401d-84e8-33a7c688c49a,601,2022-12-06
23,65e8db0c-1882-40ce-9d6d-556257779b09,327,2022-12-06
23,135565e3-26e0-4ef7-bb7f-b2cf1fc1f301,566,2022-12-10
24,6c133c4c-ded8-42a0-9bfd-fdb53beb9e1c,644,2022-12-10
24,9905c82d-c1b0-4d4f-a7db-10d5ccdd037a,623,2022-12-10
24,d2ba780b-9f35-45d9-8ddd-2df7bb51c50e,677,2022-12-09
25,0cce076e-7584-489b-9b75-de8599485bdf,692,2022-12-06
25,43d2d07d-2f2a-40b7-bc39-cc0ab693fa09,851,2022-12-09
25,51828a8e-2704-4b99-9d17-a27ea2656e4f,557,2022-12-07
26,6dea807c-0ea1-45c9-9c0e-5edcd6e545f0,770,2022-12-06
26,8cc59c60-e520-4ec2-9d49-9335d7209365,424,2022-12-06
26,802adbf0-a01c-4e9a-99ea-9675b927813b,394,2022-12-09
26,03a18283-4e8c-4567-b290-6ed158cdaf43,557,2022-12-07
27,62accbb8-66bf-4509-a1ee-62bf8b42e2af,329,2022-12-08
27,a891fe58-d9ac-4da8-8bd9-e836ae639717,733,2022-12-09
28,f02cf1bf-b8bb-44e0-9f0c-4ed028f8ae10,888,2022-12-05
28,0c716c1c-4ce8-4b40-8077-ce67363230a8,302,2022-12-08
28,47ca75c7-067a-4fde-bb8a-55f66f7a81c0,787,2022-12-07
28,ec32cd14-8da3-4dd0-9a67-0b664d747dfb,832,2022-12-08
29,b863c043-b294-4c44-b687-44c234e9a59f,756,2022-12-07
29,3fd4686f-ef62-409d-9092-4a65b8f530e3,588,2022-12-04
29,9bb6ccb6-e3be-4460-a6c6-6ce909267f5a,334,2022-12-08
29,cf66231c-2edb-4f9b-9613-fa815c874f36,404,2022-12-08
30,4882aa13-e1b0-4ddb-9b33-5e026e715351,80,2022-12-09
30,dd3e788f-d02e-4c97-9033-68bb3a644d86,354,2022-12-09
31,f9701485-5607-42cf-a4b7-9a6186d1b705,866,2022-12-08
31,8936f34a-40cf-410c-acbf-bf94d3a59e50,603,2022-12-05
32,4a595cfa-ba1f-4823-bb2b-3ef2c75aa6aa,452,2022-12-08
32,a3bcd3de-9f9c-4263-a066-c28cf7d16035,860,2022-12-05
32,b828c1b9-15f7-40c3-896f-4b3123c6f6d8,216,2022-12-09
32,f0a0ed53-2a94-4a54-8fab-66db3e39cb46,442,2022-12-06
33,926fc7d7-f43d-45e0-9b9b-1a0e284f0442,336,2022-12-07
33,ee855ddc-e866-41c9-967e-6f2961466157,176,2022-12-08
33,b9f1e301-58d7-44c4-bd1c-a1bcba3c7891,834,2022-12-07
33,a95a6942-5598-4833-8d2e-a71868f1a2e2,174,2022-12-07
34,7e1cb0fd-a727-4f7f-bde1-01967744e792,400,2022-12-06
34,b246f9f9-bcd0-4571-a33e-08cc8be5d723,164,2022-12-05
35,1884556f-a2ba-4495-8630-c4ddd6add58b,576,2022-12-09
35,a2d49f0d-2dfa-49ba-9018-f4306fbf21a7,68,2022-12-09
35,3835b5d0-9ce6-4ce8-bf9b-d0b08371c7e6,144,2022-12-06
36,788b8222-9dc4-4d15-ad8b-5c9b5c5b1213,799,2022-12-04
36,f2670623-2e6c-4257-bd98-9a5fb89b5e42,638,2022-12-10
37,ae422f14-ae1e-4de3-813a-3c0fc45fdffa,423,2022-12-09
37,3e2b438f-20d5-4fd0-9f77-a9317ca07ae6,435,2022-12-06
37,5652addd-dc94-44d2-9367-41929b4dedd5,873,2022-12-09
37,37ca6e4a-7bd2-4bb2-97fb-93de4684bbce,317,2022-12-09
38,cd8d2aff-2b89-4ee8-85d8-9cc832e721b8,857,2022-12-06
38,0bd665d4-7d39-4099-99ad-bba030524271,649,2022-12-09
39,a86496ef-0a4f-4a4a-b63f-cbd73dbf9039,533,2022-12-08
39,90c2073e-5134-47a9-9eb3-5795aa2752d4,683,2022-12-08
39,e8da7928-104e-4ac9-a599-ae1157e055af,227,2022-12-04
39,70ce1de8-6b19-4fc6-8988-cba4a65ac509,305,2022-12-04
40,46c884f7-ad7b-4dfc-b0b2-8632159884a4,312,2022-12-09
40,1dbd30f3-5fe9-489f-8960-b438c24030a4,633,2022-12-09
40,1e013e3e-086c-4990-a40e-85524f1aef0c,779,2022-12-07
41,b18bbb04-4955-4fa9-81ec-1eee287f4c53,790,2022-12-06
41,0a5f6559-a794-434e-8444-fbd07a1b5854,485,2022-12-04
42,cf85ba2c-c8fa-4506-9259-5c8cbe585040,276,2022-12-10
42,218e94a0-5f61-4b68-b60b-b50463a4f413,266,2022-12-06
42,1794bc99-5ae3-49d1-8156-9f10c9c951ae,431,2022-12-05
42,1573565b-c896-48c9-a4af-2044e14a29a6,707,2022-12-05
43,5b193a43-a317-4630-bae6-6060e6a421dc,443,2022-12-06
43,fa025251-67e3-46c2-b33f-dcfe433650bc,860,2022-12-06
43,18f2151b-910e-4a3d-af99-7a149c91620a,569,2022-12-10
43,139dc6ec-1d7e-4e40-953d-3af08195da75,644,2022-12-10
44,977e5a72-acc0-4986-9d1c-3f4d08666c42,778,2022-12-08
44,ddaceebd-177a-4ac9-8901-3515ecc4dcbd,554,2022-12-10
45,ed3bbf51-56de-4c33-994a-e6018d5f6da2,65,2022-12-09
45,a8e5f1db-e1a3-4c00-990a-6f0fd3173925,474,2022-12-08
45,3555de56-da7b-404a-9dad-f97bda31f09c,114,2022-12-06
45,492ef449-1b81-40e9-a8dc-3712347f8268,733,2022-12-04
46,6bed1b9b-5cac-4a83-8e87-5a9bcbcdd5af,69,2022-12-05
46,7e4f6e21-76d3-41d6-9fa1-84a327beb5d2,235,2022-12-05
46,081ebdb3-b037-4ded-a4cd-f2b9b0d1b90e,837,2022-12-06
47,3c28ed64-d88e-4e02-90de-7dd7823bbae8,234,2022-12-08
47,55fd1863-0c45-47ea-b210-4327a9c715b9,773,2022-12-08
48,cae93933-0837-499d-9a0a-b1f4bc235025,653,2022-12-06
48,5be0f89c-3518-4aca-a71d-ae233f515236,884,2022-12-10
49,bb6e7560-abd6-4175-af8a-892d0a1ea2eb,781,2022-12-07
49,d3bdc7a6-061c-49b5-abe6-3a3414bb1ce1,698,2022-12-08
50,bc718858-3d3f-4a0d-bbd9-99267fbcba8a,672,2022-12-10
50,cbe04396-7e0e-4659-b35e-6f7f7eef096c,663,2022-12-05
51,2119f068-85e2-4e00-acc7-f81a0176a68f,81,2022-12-04
51,e49bbc11-9a56-4b6f-974e-ee153c03304e,573,2022-12-10
51,840050f4-973d-469c-9d8a-94ce87964a1d,229,2022-12-04
52,25953126-5686-44d4-b352-d5e0b6ac544d,754,2022-12-05
52,60c72e93-e601-4076-83f5-a1829ff24a00,691,2022-12-05
52,8fa3ca6d-5123-4cb3-ad91-198687feb3bd,720,2022-12-05
52,ce2314bb-02bb-4cf6-b77f-7835a014738b,299,2022-12-07
53,deaa6be3-02cf-491b-9244-2f2229a2326c,411,2022-12-04
53,77372410-1d9f-4020-bdda-75013e12db46,650,2022-12-10
53,0ddcb382-0ca6-40e2-a670-0f4e870c2362,445,2022-12-10
54,77ca3680-cc10-4b01-a60a-9d449d727dff,651,2022-12-10
54,7bcb30de-6037-464d-ab35-2716f271f625,706,2022-12-08
54,0fa4b32f-9113-4868-9bf1-d93d53129155,415,2022-12-07
55,7de909d3-1f0d-478e-81b9-3f68be797205,715,2022-12-04
55,6ad670c4-f2c6-4f38-aca5-41cc82c6a6dc,306,2022-12-05
55,7bc8b4be-293f-4694-952f-1fa4db21a30d,628,2022-12-10
56,34a05551-0fc9-414b-a7cd-3ad2235598b6,340,2022-12-08
56,6e1f7c3c-e034-4484-864f-42567c53e756,71,2022-12-07
57,6deddb2a-06d6-427d-bc9a-7d332b3cff4b,761,2022-12-04
57,4417ac97-b27d-4ae1-a667-b4166b985343,755,2022-12-05
57,fff8660d-a2ee-4762-8517-a453ba890e5f,725,2022-12-08
57,2311a018-9ee9-4ed1-8a16-b4a6d89f7b9d,886,2022-12-05
58,62e2bfe3-a96f-4d38-b7f9-63526d1263f0,363,2022-12-09
58,86dab605-b4c3-42f2-a68e-0031949bfd98,767,2022-12-07
58,9ed3707f-aaf4-499c-b6bd-cef6cca65e26,197,2022-12-04
59,9b4c796e-3221-445a-aca1-0c97cc694ca9,349,2022-12-07
59,1333d449-ac83-4bb4-8a16-0d2cb371ba39,181,2022-12-06
60,7def112a-1e53-4a4c-873b-fac13baabef4,377,2022-12-10
60,efe847fd-bd79-4c3e-829d-02599b1c7664,478,2022-12-09
61,4670ffe6-2bfe-4d95-820f-a61bd73c5042,325,2022-12-05
61,344591c5-a31a-4eaf-aba6-b2d5ba33e72d,751,2022-12-05
62,d6179d40-a760-46c5-b38f-2f1f2859d510,788,2022-12-10
62,09d53e04-b7bb-4a96-84db-ab578bf13d16,234,2022-12-05
62,d2768c61-1773-4366-bd26-7a35e282295e,183,2022-12-08
62,12e02b74-f22a-4f9d-95e7-2ab1474fce53,874,2022-12-07
63,cee968d7-687e-43da-9897-36e77d6989f0,811,2022-12-05
63,cfb1c944-8664-4e37-8299-27021b79ba18,714,2022-12-10
64,bfc55478-fb95-403a-9ad0-9efc24db7308,433,2022-12-05
64,1447971f-3562-448c-9718-a3c96c7db002,420,2022-12-07
64,ac131760-d5ac-4295-b381-eeb26604c8c2,461,2022-12-06
65,7829e1d3-42e5-4764-af8d-bb07573f7ba2,375,2022-12-10
65,6fa5129d-71db-45f5-9b86-1102b1f5bec7,187,2022-12-07
65,71fecf88-ee83-4b0d-9385-5af7ad660142,889,2022-12-10
